sentence,token ,target,morph_weight,"BP_type
",meaning ,transliteration,
عُرُوشُ ٱلظَّٰلِمِينَ دَائِمًا مَا تَنَتِهِي بِٱلزَّوَالِ,عُرُوشُ,عُرُوش,فُعُول ,جمع كثرة,Roofs,Euruw$u,
عرضت الفتاة أزياء جديدة في المعرض.,أزياء,أَزْيَاءٌ,"أَفْعِلاء
",جمع كثرة,Fashions,>azoyaA'N,
عُرضت الجَواهِر  الثمينة في متحف الملكي للحضارات., الجَواهِر,جَواهِر ,فَوَاعِل ,جمع كثرة,Miracles,jawAhir,
عُرضت الأفلام الجديدة في أكبر دور السينما.,الأفلام,أفلام,"أَفْعَال
",جمع قلة,Films,>flAm,
عرض المحامي جميع الدلائل أمام المحكمة.,الدلائل,دلائل,فَعَائِل,جمع كثرة,Signs,dlA}l,
عرض المتحف مجموعة من التماثيل القديمة.,التماثيل,تماثيل,تَفَاعِيل,جمع كثرة,Statues,tmAvyl,
عَرَضَ المُتَجَرُ مَجْمُوعَةً جَدِيدَةً مِنَ المَلابِسِ الشِّتَوِيَّةِ.,المَلابِسِ,مَلابِس,مَفَاعِل,جمع كثرة ,Clothes,malAbisi,
عدّ البائع دراهِمَهُ  جيدًا.,دراهِمَهُ ,دراهِمَ,فَعَالِل,جمع كثرة,Dirhams,drAhm,
عثرنا على أَثْمَارٍ نادرة.,أَثْمَار,أَثْمَار,أَفْعَال,جمع قلة,Fruits,>avomaAr,
عثرت الطفلة على عدة حجارة ملساء.,حجارة,حجارة,فِعَالَة,جمع كثرة,Stones,HjArp,
عَثَرَ الصَّيَّادُ عَلَى أَفَاعِي مَخْتَبِئَةٍ بَيْنَ الصُّخُورِ.,أفاعي,أفاعي,أَفَاعِل,جمع كثرة,Snakes,>fAEy,
عْتَبَرُ المَرَاعِيّ الخَضْرَاءُ مَصْدَرًا أَسَاسِيًّا لِغِذَاءِ المَاشِيَةِ, المَرَاعِيّ, مَرَاعِي,فَعَالِي,جمع كثرة ,Flocks,maraAEiy~,
عبرنا جسرًا مصنوعًا من جذوع غصون متينة., جذوع,جذوع,فُعُول ,جمع كثرة,Trunks,j*wE,
عبرنا العديد من جسور النهر في الرحلة.,جسور,جسور,فُعُول ,جمع كثرة,Bridges,jswr,
عبرت القافلة صحراء مليئة بـ صخور عملاقة.,صخور,صخور,فُعُول ,جمع كثرة,Rocks,Sxwr,
عبرت القافلة بين الصحارى القاحلة,الصحارى,صحارى,فَعَالِي,جمع كثرة,Deserts,SHArY,
عبر المسافرون عبر الحدود للدخول إلى البلاد بعد الفحص الأمني,الحُدُود ,حُدُود,فُعُول ,جمع كثرة,Borders,Huduwd,
عبر الفلاحون الأنهار باستخدام القوارب.,الأنهار ,أنهار ,أَفْعَال,جمع قلة,Rivers,>nhAr,
عَبْرَ الفَلَّاحُونَ الأَنْهارُ بِاسْتِخْدَامِ القَوارِبِ ., القَوارِبِ, قَوارِب,فَوَاعِل ,جمع كثرة,Boats,qwArb,
عاشت أجيال مختلفة من الناس في هذه البلدة.,أجيال,أَجْيَالٌ,"أَفْعَال
",جمع قلة,Generations,>ajoyaAlN,
ظهرت مناطق تجارية جديدة في قلب العاصمة.,مناطق,مَنَاطِقُ,مَفَاعِل,جمع كثرة,Areas,manaATiqu,
ظهرت في السماء غيوم متفرقة.,غيوم,غيوم,فُعُول ,جمع كثرة,Clouds,gywm,
ظَهَرَتْ عَلَى المَرِيضِ أَعْرَاضُ الإِنْفِلُونْزَا بَعْدَ يَوْمَيْنِ مِنَ العَدْوَى.,أَعْرَاضُ,أَعْرَاضُ,أَفْعَال,جمع قلة,Sides,>aEoraADu,
ظَنَّ الجَمِيعُ أَنَّهُمْ مَجَانِينَ عِندَمَا بَدَؤُوا يَرْقُصُونَ تَحْتَ المَطَرِ.,مَجَانِينَ ,مَجَانِين,مَفَاعِيل,جمع كثرة,Madmen,majaAniyna,
طوى الرجل أكمام قميصه استعدادًا للعمل.,أكمام,أكْمَام,أَفْعَال,جمع قلة,Sleeves,>komaAm,
صَوَاعِقُ ٱلرَّعْدِ تَمْلَأُ ٱلسَّمَاءَ بِٱلضُّوءِ وَٱلْبَرْقِ فِي عَاصِفَةٍ شَدِيدَةٍ.,صَوَاعِقُ,صَوَاعِق,فَوَاعِل ,جمع كثرة,Thunderbolts,SawaAEiqu,
صنعت الجدة أَقْرَاصاً من الحلوى.,أَقْرَاصاً,أَقْرَاص,أَفْعَال,جمع قلة,Discs/Tablets,>aqoraAS,
صنع الفلاحون أَرْغِفَةً من الخبز.,أَرْغِفَةً,أَرْغِفَة,أَفْعِلَة,جمع قلة,Loaves,>arogifap,
صنع الحداد أبواباً متينة للمنازل.,أبواباً,أبواب,"أَفْعَال
",جمع قلة,Doors,>bwAb,
صَعِدْنَا إِلَى السُّطُوحِ لِنُرَاقِبَ النُّجُومَ., السُّطُوحِ, سطُوح,فُعُول ,جمع كثرة,Surfaces,su~TuwHi,
صعد العمال إلى السطح باستخدام السلالم.,السلالم,سَلَالِمُ,فَعَالِل,جمع كثرة,Ladders,salaAlimu,
شيدت الشركة أبراجًا بجانب البحيرات.,أبراجاً,أبراج,أَفْعَال,جمع قلة,Towers,>brAj,
شوهدت غِزلان رشيقة تجري بسرعة عبر المروج الخضراء., غِزلان,غِزلان,فِعْلان,جمع كثرة,Gazelles,gizlAn,
شهدنا العديد من العروض المسرحية في مهرجان الفنون., الفنون, فنون,فُعُول ,جمع كثرة,Arts,fnwn,
شهدت المحافل الدولية نقاشات هامة حول تغير المناخ.,المحافل,محافل,مَفَاعِل,جمع كثرة,Forums,mHAfl,
شَكَرْنَا ٱللَّهَ عَلَىٰ ٱلنِّعَمِ ٱلَّتِيٓ أَنْعَمَ بِهَا عَلَيْنَا فِي حَيَاتِنَا, ٱلنِّعَمِ ,نِعَمِ,فِعَل,جمع كثرة,Blessings,niEami,
شقت القوافل طريقها عبر مسارات وعرة بين الجبال الشاهقة.,القوافل,قوافل,فَوَاعِل,جمع كثرة,Caravans,qwAfl,
شقّ العمال أنفاقاً عميقة عبر الجبال الصخرية.,أنفاقاً,أنفاق,أَفْعَال,جمع قلة,Tunnels,>nfAq,
"شَغَّلَ مَقَابِيسَ الإِنَارَةِ عِندَ الغُرُوبِ.

",مَقَابِيسَ ,مَقَابِيس,مَفَاعِيل,جمع كثرة ,Measures,maqaAbiysa,
شَغَّلَ مَرَاوِحَ السَّقْفِ لِتَبْرِيدِ الغُرْفَةِ فِي الصَّيْفِ الحَارِ., مَرَاوِحَ, مَرَاوِح,مَفَاعِل,جمع كثرة,Fans,maraAwiHa,
شعر الجميع بالبرود في الهواء بعد غروب الشمس، فارتدوا مَعَاطِفَهم الثقيلة.,مَعَاطِفَهم ,مَعَاطِف,مَفَاعِل,جمع كثرة,Coats,maEaATif,
شَرَيْتُ مُجْمُوعَةً مِنَ  العُطُورِ الفَاخِرَةِ لِأَهْدِيَهَا لِأَصْدِقَائِي فِي المُنَاسَبَاتِ الخَاصَّةِ.,العُطُور, عُطُور,فُعُول ,جمع كثرة,Perfumes,EuTuwri,
شَرَحَتِ ٱلْمُعَلِّمَةُ أَوْزَانَ ٱلْمَفَاعِيلِ فِي ٱلنَّحْوِ,المَفَاعِيلِ,مَفَاعِيل,مَفَاعِيل ,جمع كثرة ,Effects,mafaAEiyli,
شرحت المديرة التفاصيل بدقة,التفاصيل,تفاصيل,تَفَاعِيل,جمع كثرة,Details,tfASyl,
شربنا بعض أكواب الشاي الساخن.,أكواب,أكواب,أَفْعَال,جمع قلة,Cups,>kwAb,
شرب الأطفال عصائر مختلفة في الحفل.,عصائر,عصائر,فَعَائِل,جمع كثرة,Juices,ESA}r,
شتريتُ أثوابًا جميلةً من السوق لارتدائها في الحفل,أثْوَاب ,أثْوَاب ,أَفْعَال,جمع قلة,Clothes,>vowaAb,
شْتَرَى الطِّفْلُ سَرَاوِيلَ جَديدَةً اسْتِعْدادًا لِلمَدْرَسَةِ., سَرَاوِيلَ, سَرَاوِيلَ,فَعَالِيل,جمع كثرة,Trousers / Pants, saraawiil,
شاهدنا فوق الطاولة أربع كؤوس ممتلئة.,كؤوس,كؤوس,فُعُول ,جمع كثرة,Cups,k&ws,
شاهدنا غُصُوناً تتحرك مع الرياح.,غُصُوناً ,غُصُون,فُعُول ,جمع كثرة,Branches,guSuwn,
شاهدنا عرضًا رائعًا للخيول في الميدان.,للخيول,خيول,فُعُول ,جمع كثرة,Horses,xywl,
شاهدنا القمر ينعكس على مياه بحيرات صافية.,مياه,مياه,فِعَال,جمع كثرة,Water,myAh,
شَاهَدْنَا الفِيَلَةَ تَتَجَوَّلُ بِحُرِّيَّةٍ فِي الحَمَاةِ الطَّبِيعِيَّةِ., الفِيَلَةَ ,فِيَلَةَ,فِعَلَة ,جمع كثرة,Elephants,fiyalapa,
شاهدنا العديد من الفنون الشعبية المعروضة في المهرجان.,الفنون,فنون,فُعُول ,جمع كثرة,Arts,fnwn,
شاهدنا الثلوج في الخارج.,الثلوج,ثلوج,فُعُول ,جمع كثرة,Snow,vlwj,
شاهدنا البيوت القديمة في القرية.,البيوت,بيوت,فُعُول ,جمع كثرة,Houses,bywt,
شاهدنا البحارة ينقلون اللآلئ من أعماق البحر.,البحارة ,بحارة,"فَعَّالَة
",جمع كثرة,Sailors,bHArp,
شاهدنا أطياف في السماء خلال الغروب.,أطياف,أطياف,أَفْعَال,جمع قلة,Specters,>TyAf,
شاهدنا أسراباً من الطيور المهاجرة.,أسراباً ,أسراب,أَفْعَال,جمع قلة,Flocks,>srAb,
شاهدنا آثار هدم القلاع في المعركة.,القلاع,قلاع,فِعَال,جمع كثرة,Castles,qlAE,
شاهدتُ لوحات فنية في المعارض المحلية.,المعارض,معارض,مَفَاعِل,جمع كثرة,Exhibitions,mEArD,
شاهدتُ الكتب الجديدة في المكتبة.,الكتب,كتب,فُعُل, جمع كثرة,Books,ktb,
شاهدتُ أَشْعَاراً من الشعر القديم., أَشْعَاراً,أَشْعَار,أَفْعَال,جمع قلة,Poems,>a$oEaAr,
شاهدتُ أَبْحَاراً واسعة أثناء الرحلة.,أَبْحَاراً,أَبْحَار,أَفْعَال,جمع قلة,Seas,>aboHaAr,
شاهد الأطفال الدِبَبَة في حديقة الحيوانات وهم يلعبون بمرح., الدِبَبَة,دِبَبَة,فِعَلَة ,جمع كثرة,Bears,dibabap,
شاهد الأطفال أَعْشَاشاً للطيور.,أَعْشَاشاً,أَعْشَاش,أَفْعَال,جمع قلة,Nests,>aEo$aA$,
شَارَكَتِ النِّسَاءُ فِي الاحِتِفَالِ الوَطَنِيِّ., النِّسَاءُ,نِسَاءُ ,فِعَال,جمع كثرة ,Women,nisaA'u,
شاركت العديد من الفِرَق الرياضية في البطولة الدولية هذا العام,الفِرَق,فِرَق,فِعَل,جمع كثرة,Teams,firaq,
سمعنا عن هجوم الذِئاب على القطيع في الجبال البعيدة., الذِئاب, ذِئاب,فِعَال,جمع كثرة,Wolves,*i}Ab,
سَمِعْنا صَوْتَ مَزاميرَ الفَرَحِ في الحَيِّ.,مَزاميرَ,مَزامير,مَفَاعِيل,جمع كثرة,Flutes / Pipes,mazaamiir,
سمعنا الكثير من الأحاديث المفيدة في الندوة,الأحاديث,أحاديث,أَفَاعِيل,جمع كثرة,Conversations,>HAdyv,
سُمِعَت صَواهِل الخيول في المساء، وهي تعلن عن بداية السباق.,صَواهِل ,صَواهِل,فَوَاعِل ,جمع كثرة,Ponds,SawAhil,
سمعت الأنغام الجميلة من آلة العود.,الأنغام,أنغام,"أَفْعَال
",جمع قلة,Melodies,>ngAm,
سلم الملك المقاليد إلى ولي العهد.,المقاليد ,مقاليد ,مَفَاعِيل,جمع كثرة,Keys,mqAlyd,
سلم المدير المفاتيح للموظفين لفتح المكاتب., المفاتيح,مَفَاتِيح,مَفَاعِيل,جمع كثرة,Keys,mafaAtiyHu,
سَلَكْنَا دُرُوبًا وَعِرَةً فِي الجِبَالِ.,دُرُوبًا ,دُرُوب,فُعُول ,جمع كثرة ,Paths,duruwbFA,
سلكنا الدُروب الجبلية للوصول إلى القمة.,الدُروب,دُروب,فُعُول ,جمع كثرة,Paths,durwb,
سلك الرحالة الدروب الجبلية الوعرة للوصول إلى قمة الجبل.,الدروب,دروب,فُعُول ,جمع كثرة,Paths,drwb,
"سقط العديد من الصَرْعى في المعركة نتيجة لحدة القتال.""", الصَرْعى,صَرْعى,فَعْلَى,جمع كثرة,Epileptic,SaroEY,
سَدَّدَتِ الشَّرِكَةُ جَمِيعَ دُيُونِهَا., دُيُونِهَا, دُيُون,فُعُول ,جمع كثرة ,Debts,duyuwn,
سَتَظَلُّ ٱلْمُسَافِرُونَ تَحْتَ ظِلاَلِ ٱلْأَشْجَارِ هَرَبًا مِنْ حَرَّةِ ٱلشَّمْسِ,ظِلاَلِ,ظِلاَلِ ,فِعَال,جمع كثرة,Shadows,ZilAali,
سَتَخْدِمُ ٱلْمُهَنْدِسُونَ ٱلْقَوالِدَ ٱلْمَعْدَنِيَّةِ فِي بِنَاءِ ٱلْجِسْرِ بِسَبَبِ قُوَّتِهَا, ٱلْقَوالِدَ,قوالد,فَوَاعِل ,جمع كثرة,Molds,qwAld,
سَتَخْدِمُ ٱلْمَلَاعِقُ ٱلذَّهَبِيَّةِ فِي تَنَاوُلِ ٱلْعَشَاءِ ٱلْفَاخِرِ,الملَاعِقُ,ملَاعِق,مَفَاعِل,جمع كثرة ,Spoons,mlaAEiqu,
سَتَخْدِمُ ٱلْحَرَفِيُّ ٱلْمَسَامِيرَ لِتَثْبِيتِ ٱلْأَلْوَاحِ ٱلْخَشَبِيَّةِ فِي مَكَانِهَا,المَسَامِيرَ,مَسَامِير,مَفَاعِيل,جمع كثرة ,Nails,masaAmiyra,
سبح الغواصون بجانب الحِيتان في المحيط.,الحِيتان,حِيتان,فِعْلان,جمع كثرة,Whales,HiytAn,
ساهم الشباب في تنظيف شواطئ المدينة.,شواطئ,شواطئ,فَوَاعِل,جمع كثرة,Beaches,$wAT},
سافرنا إلى الأماكن النائية.,الأماكن,أماكن,أَفَاعِل,جمع كثرة,Places,>mAkn,
سافر الفتيان عبر دروب وعرة.,الفتيان,فتيان,فِعْلان,جمع كثرة,Boys,ftyAn,
سافر الرحالة على متن القوارب عبر الأنهر الطويلة., الأنهر ,أنهر,أَفْعُل,جمع قلة,Rivers,>nhr,
ساعدنا أرامل الحي في جمع الحطب.,أرامل,أرامل,أَفَاعِل,جمع كثرة,Widows,>rAml,
ساعدتني التجارب السابقة في اتخاذ القرار الصحيح.,التجارب,تجارب,تَفَاعِيل,جمع كثرة,Experiments,tjArb,
ساعدت السدود في توفير المياه خلال فترات الجفاف.,السدود,سدود,فُعُول ,جمع كثرة,Dams,sdwd,
زُينت حيطان الغرفة برسومات جميلة وألوان زاهية.,حيطان,حيطان,فِعْلان,جمع كثرة,Walls,HyTAn,
زَيَّنَتِ ٱلنِّسَاءُ أَعْيُنَهُنَّ بِٱلْمَكَاحِيلِ,بِٱلْمَكَاحِيلِ,مَكَاحِيل,مَفَاعِيل,جمع كثرة ,Obliques,makaAHiyli,
زينت المساجد بأجمل المحاريب المزخرفة.,المحاريب,محاريب,مَفَاعِيل,جمع كثرة,Purgatory,mHAryb,
زينت الزخارف الجدارية أرجاء القاعة.,الزخارف,زخارف,فَعَالِل,جمع كثرة,Decorations,zxArf,
زَيَّنَ الرَّسَّامُ الحَوَائِطَ بِرُسُومٍ فَنِّيَّةٍ رَائِعَةٍ.,الحَوَائِطَ,حَوَائِط,فَوَاعِل ,جمع كثرة,Walls,HawaA}iTa,
زَقْزَقَةُ العَصَافِيرِ جَمِيلَةٌ.,العَصَافِيرِ, عَصَافِيرِ ,فَعَالِيل,جمع كثرة,Birds,EaSaAfiyri,
زُرنا حصون حصى القرى القديمة.,حصون,حصون,فُعُول ,جمع كثرة,Forts,HSwn,
زرنا المتاحف الوطنية في الرحلة المدرسية.,المتاحف,متاحف,مَفَاعِل,جمع كثرة,Museums,mtAHf,
زرعنا العديد من أَبْصَالٍ في الحديقة.,أَبْصَال,أَبْصَال,أَفْعَال,جمع قلة,Eyes,>aboSaAl,
زرعنا الأَفْرَاع الجديدة في الحديقة لتوسيع المساحات الخضراء.,الأَفْرَاع,أَفْرَاع,أَفْعَال,جمع قلة,Branches,>aforaAE,
زُرعت الزهور في الحدائق العامة.,الحدائق,حدائق,فَعَائِل,جمع كثرة,Gardens,HdA}q,
زُرعت البذور بعناية على جانبي ضفاف النهر.,ضفاف,ضفاف,فِعَال,جمع كثرة,Banks,DfAf,
زرع الفلاح مواسم جديدة في الأرض.,مواسم,مواسم,مَفَاعِل,جمع كثرة,Seasons,mwAsm,
زرع الفلاح البذور في الأرض الخصبة., البذور,بذور,فُعُول ,جمع كثرة,Seeds,b*wr,
زرع أَجْدَادنا فينا قيم التضحيه والاحترام, أَجْدَادنا ,أَجْدَاد,أَفْعَال,جمع قلة,Grandfathers,>ajodaAd,
زُرْتُ قُرًى جَمِيلَةً فِي الرِّيْفِ وَاسْتَمْتَعْتُ بِالطَّبِيعَةِ., قُرًى, قُرًى,فُعَل,جمع كثرة,Villages,qurFY,
زُرْتُ ٱلْمَقَابِرَ لِلدُّعَاءِ لِلْأَمْوَاتِ,المَقَابِرَ,مَقَابِر,مَفَاعِل,جمع كثرة ,Graves,maqaAbira,
زُرْتُ أَنْحَاءً مُخْتَلِفَةً مِنَ البِلَادِ وَتَعَرَّفْتُ عَلَى ثَقَافَاتٍ جَدِيدَةٍ.,أنحاء,أنحاء,"أَفْعِلاء
",جمع كثرة ,Regions,>nHA',
زرت المدائن القديمة أثناء جولتي السياحية.,المدائن,مدائن,مَفَاعِل,جمع كثرة,Cities,mdA}n,
زرت المتحف وشاهدت العديد من العجائب.,العجائب,عجائب,فَعَائِل,جمع كثرة,Wonders,EjA}b,
زَارَتْنِي طُيُوفُ الأَحْلَامِ فِي اللَّيْلِ.,طُيُوفُ,طُيُوف,فُعُول ,جمع كثرة ,Winds,Tuyuwfu,
زارت المدارس مجموعة من الطلاب المتميزين.,المدارس,مدارس,مَفَاعِل, جمع كثرة,Schools,mdArs,
زارت السياح المدارس القديمة.,السياح,سياح,فُعَّال,جمع كثرة,Tourists,syAH,
زارت الأسرة حديقة الحيوان للاستمتاع بمشاهد الجِمَال, الجِمَال,جِمَال,فِعَال,جمع كثرة,Camels,jimaAl,
زارَ أَهَالِي القَرْيَةِ المَجْرَى لِلاِطِّمَانِ عَلَى أَحْوَالِهِمْ.,أَهَالِي,أَهَالِي,فَعَالِي,جمع كثرة ,inhabitants,>ahaAliy,
زار الوفد الثقافي العديد من المتاحف في المدينة لتعريف الزوار بتاريخها., الزوار,زوار,فُعَّال,جمع كثرة,Visitors,zwAr,
زار السياح المعابد القديمة التي تحتوي على نقوش تاريخية رائعة.,نقوش,نقوش,فُعُول ,جمع كثرة,Inscriptions,nqw$,
زار السياح المعابد الأثرية في المنطقة.,المعابد,معابد,مَفَاعِل,جمع كثرة,Temples,mEAbd,
زار السياح المدن التاريخية.,المدن,مدن,فُعُل,جمع كثرة,Cities,mdn,
زار السائحون أَسْبَاباً تاريخية للمدينة.,أَسْبَاباً,أَسْبَاب,أَفْعَال,جمع قلة,Reasons,>asobaAb,
زار الرَّحالةأشهر البلدان في العالم.,الرَّحالة,رحالة,"فَعَّالَة
",جمع كثرة,Travelers,rHAlp,
رِيَاحُ ٱلتَّغْيِيرِ تَهُبُّ دَائِمًا لِتَحْمِلَ مَعَهَا فُرَصًا جَدِيدَةً,رِيَاحُ ,رِيَاحُ,فِعَال,جمع كثرة,Winds,riyaAHu,
ركضت أَغْلَامٌ بين الحقول.,أَغْلَامٌ,أَغْلَام,أَفْعَال,جمع قلة,Young boys/Servants,>agolaAm,
ركض اللاعبون في أرجاء الملاعب المختلفة.,الملاعب,ملاعب,مَفَاعِل,جمع كثرة,Playgrounds,mlAEb,
ركض الأطفال في الحقول الواسعة رافعين أيديهم في الهواء., أيديهم,أيدي,أَفْعِل,جمع قلة,Hands,>ydy,
ركبنا المراكب في البحر للاستمتاع بجولة بحرية.,المراكب,مراكب,مَفَاعِل,جمع كثرة,Boats,mrAkb,
ركبنا القارب وتوجهنا نحو جزر نخيل بعيدة.,جزر,جزر,فُعُل,جمع كثرة,Islands,jzr,
ركب البحارة الصواري على السفينة استعدادًا للرحلة.,الصواري ,صَوَارِي,فَوَاعِل ,جمع كثرة,Masts,SawaAriy,
رقصت الفتيات بأثواب جميلة.,بأثواب ,أثواب,أَفْعَال,جمع قلة,Gowns,>vwAb,
رقص الشباب على أنغام الموسيقى في الحفل.,الشباب,شباب,فَعَال,جمع كثرة,Youth,$bAb,
رفعنا الأعلام في الاحتفال بالعيد الوطني.,الأعلام,أعلام,أَفْعَال,جمع قلة,Flags,>ElAm,
رفرفت الأجنحة في السماء الزرقاء., الأجنحة ,أجنِحَة,أَفْعِلَة,جمع قلة,Wings,>jniHap,
رُصفت الطرقات القديمة بالأحجار الصلبة., بالأحجار,أحْجار,أَفْعَال,جمع قلة,Stones,>HojAr,
رصد الفلكيون مواقع النجوم بدقة.,مواقع,مواقع,مَفَاعِل,جمع كثرة,Sites,mwAqE,
رسم المصمم عدة خطوط على الخريطة.,خطوط,خطوط,فُعُول ,جمع كثرة,Lines,xTwT,
رَسَمَ المِصْمِمُ خُطُوطًا دَقِيقَةً عَلَى الوَرَقَةِ., خُطُوطًا, خُطُوط,فُعُول ,جمع كثرة ,Lines,xuTuwT,
رسم الفنان لوحة مستوحاة من جبال رمال الصحراء.,رمال,رمال,فِعَال,جمع كثرة,Sand,rmAl,
رَسَمَ الفَنَّانُ أَقْوَاسًا جَمِيلَةً فِي لُوحَتِهِ., أَقْوَاسًا,أَقْوَاس,أَفْعَال,جمع قلة,Nests,>aqowaAs,
ردد الناس الأمثال الشعبية التي تحمل حكمًا وفوائد.,الأمثال,أمثال,أَفْعَال,جمع قلة,Proverbs,>mvAl,
رحبت القرية بحجاجٍ قدموا من شتى أنحاء العالم.,حجاج,حجاج,فُعَّال,جمع كثرة,Pilgrims,HjAj,
رِجَالُ الْحَيِّ اجْتَمَعُوا لِتَرْمِيمِ الدِّيَارِ ٱلْمُهَدَّمَةِ بَعْدَ الْعَاصِفَةِ,رِجَالُ,رِجَالُ,فِعَال,جمع كثرة,Men,rijaAlu,
رِجَالُ الْحَيِّ اجْتَمَعُوا لِتَرْمِيمِ الدِّيَارِ ٱلْمُهَدَّمَةِ بَعْدَ الْعَاصِفَةِ,الدِّيَارِ,دِيَارِ,فِعَال,جمع كثرة,Homes,d~iyaAri,
رتبت الممرضةُ الأَسِرَّةَ في غرفة المرضى بعناية., الأَسِرَّةَ ,أسِرَّة,أَفْعِلَة,جمع قلة,Beds,>sir~ap,
رتب المصمم صناديق العرض في المتجر.,صناديق,صناديق,فَعَالِيل,جمع كثرة,Boxes,SnAdyq,
رتب العمال الأثاث في المنزل الجديد.,العمال,عمال,فُعَّال,جمع كثرة,Workers,EmAl,
ربطت السفينة على الميناء باستخدام السلاسل القوية.,السلاسل,سلاسل,فَعَالِل,جمع كثرة,Chains,slAsl,
رَأَيْنَا فِئْرَانًا فِي الحَقْلِ عِندَ الغُرُوبِ.,فِئْرَانًا,فِئْرَان,فِعْلان,جمع كثرة ,Rats,fi}oraAn,
رأينا ظباء تجري بسرعة في البراري.,ظباء,ظباء,"فِعَال
",جمع كثرة,Gazelles,ZbA',
رَأَيْنَا شُهُبًا مُتَسَاقِطَةً أَثْنَاءَ اللَّيْلِ., شُهُبًا ,شُهُب,فُعُل,جمع كثرة,Meteors,$uhub,
رأينا أعلامًا ترفرف فوق قصور الأمراء.,الأمراء,أمراء,فُعَلاء,جمع كثرة,Princes,>mrA',
رأيتُ سُبُلاً واسعة في الصحراء.,سُبُلاً,سُبُل,فُعُل,جمع كثرة,Ways,subul,
رأيت جرذان صغيرة تتسلل بهدوء بحثًا عن الطعام في اللي,جُرذَان,جُرذَان,فُعْلان,جمع كثرة,Rats,jur*aAn,
رَأَيْتُ بَطَارِيقَ تَسْبَحُ فِي بَحْرِ الجَنُوبِ.,بَطَارِيقَ,بَطَارِيقَ,فَعَالِيل ,جمع كثرة,Teddy bears,baTaAriyqa,
رأيت العديد من وجوه الناس المبتسمة في السوق.,وجوه ,وُجُوه,فُعُول ,جمع كثرة,Faces,wujuwhN,
رأيت العديد من القطط في الحديقة, القطط,قطط,فِعَل,جمع كثرة,Cats,qTT,
رُؤُوسُ ٱلْجِبَالِ مُغَطَّاةٌ بِٱلثَّلُوجِ ٱلْبَيْضَاءِ فِي ٱلشِّتَاءِ,الجِبَالِ,جِبَالِ,فِعَال,جمع كثرة,Mountains,jibaAli,
رؤوس الجبال كانت مغطاة بِالثُّلوج في فصل الشتاء.,بِالثُّلوج,ثُلوج,فُعُول ,جمع كثرة,Snow,vulwj,
رأت السائحة قِرَدَة تلعب على الشجرة في الغابة.,قِرَدَة ,قِرَدَة ,فِعَلَة ,جمع كثرة,Monkeys,qiradap,
ذَوائِب الشعر تتناثر في الرياح كأنها خيوط من الذهب.,ذَوائِب ,ذَوائِب ,فَعَائِل,جمع كثرة,Lazy people,*awA}ib,
دور الأطفال في المسرحية كان محوريًا في جذب انتباه الجمهور.,دور,دور,فُعُول ,جمع كثرة,Households,dwr,
دَوالِبُ ٱلسَّيَّارَةِ بِحَاجَةٍ إِلَىٰ صِيَانَةٍ دَوْرِيَّةٍ لِضَمَانِ ٱلسَّلاَمَةِ,دَوالِبُ ,دَوالِب,فَوَاعِل ,جمع كثرة,Drums,dwAlb,
دِمَاءُ ٱلشُّهَدَاءِ تَسْقِيٓ أَرْضَ ٱلْوَطَنِ لِتَزْهَرَ حُرِّيَّةً وَعَدْلًا,دِمَاءُ ,دِمَاءُ ,فِعَال,جمع كثرة,Blood,dimaA'u,
دَقُّ الطُّبُولِ مُمتِعٌ فِي الحَفَلَاتِ.,الطُّبُولِ, طُبُول,فُعُول ,جمع كثرة ,Drums,Tubuwl,
درسنا في المدرسة عن الأنهار وأهميتها.,الأنهار,أنهار,أَفْعَال,جمع قلة,Rivers,>nhAr,
درسنا عن أَصْوَات الحيوانات في المدرسة.,أَصْوَات,أَصْوَات,أَفْعَال,جمع قلة,Voices,>aSowaAt,
درست قصصًا عن الملوك القدامى.,قصصاً,قصص,فِعَل,جمع كثرة,Stories,qSS,
دَرَسْتُ الفُنُونَ الجَمِيلَةَ فِي الجَامِعَةِ.,الفُنُونَ,فُنُون,فُعُول ,جمع كثرة ,Arts,funuwna,
درس العلماء أنواع النباتات النادرة.,أنواع,أنواع,أَفْعَال,جمع قلة,Types,>nwAE,
درس الطلاب التفاعيل اللغوية في الدرس.,التفاعيل,تفاعيل,تَفَاعِيل,جمع كثرة,Activities,tfAEyl,
خَوالِد الصحراء تحتفظ بجمالها رغم مرور الزمن,خَوالِد,خَوالِد,فَوَاعِل ,جمع كثرة,Aunts,xwAl,
خصص الشاعر أمسية لقراءة أجمل قصائده الرومانسية.,قصائده,قصائد,فَعَائِل,جمع كثرة,Poems,qSA}d,
خَاضَ اللَّاعِبُ غِمَارَ التَّحَدِّي بِشَجَاعَةٍ.,غِمَارَ,غِمَارَ,فِعَال,جمع كثرة,Veils,gimaAra,
خاض الجنود العديد من المعارك الشرسة للدفاع عن وطنهم.,المعارك,معارك,مَفَاعِل,جمع كثرة,Battles,mEArk,
حوصرت الفريسة في بَرَاثِن الأسد القوية، مما جعل الهروب مستحيلاً.,بَرَاثِن ,بَرَاثِن ,فَعَالِل,جمع كثرة,Schools,baraAvin,
حملت الفتاة ثلاث دمى صغيرة ولطيفة.,دمى,دُمَى,فُعَلَى,جمع كثرة,Dolls,dumaY,
