sentence,token,target,morph_weight,meaning,Blural-type,transliteration
نَحتاجُ إلى مُترجِماتٍ في المؤتمرِ الدَّوليِّ.,مُترجِماتٍ,مُتَرجِمَات,مُفَعِّلات,Translators,جمع مؤنث سالم,mutarjimaAt
تُشارِكُ الطّالِباتُ في الأنشطةِ المدرسيّةِ.,الطّالِباتُ,طالِبات,فَاعِلات,Students,جمع مؤنث سالم,TAlibAt
استضافَ المؤتمرُ عددًا من المُحامِياتِ المُخضرَماتِ.,المُحامِياتِ,مُحاميات,فَاعِلات,Lawyers,جمع مؤنث سالم,muHAmyAt
تحدثَتْ بعضُ النّاشِطاتِ عن حقوقِ الإنسانِ.,النّاشِطاتِ,ناشِطات,فَاعِلات,Activists,جمع مؤنث سالم,nA$iTAt
أبهرتِ الرّياضِيّاتُ الجميعَ في المسابقةِ.,الرّياضِيّاتُ,رِياضِيّات,فَاعِلات,Athletes,جمع مؤنث سالم,riyADiy~At
نالَتِ الفَنّاناتُ إعجابَ النقادِ في المهرجانِ.,الفَنّاناتُ,فَنّانات,فَعَّالات,Artists,جمع مؤنث سالم,fan~AnAt
شرحَتِ المُدرِّساتُ قواعدَ اللغةِ بشكلٍ مبسّطٍ.,المُدرِّساتُ,مُدَرِّسات,مُفَعِّلات,Teachers,جمع مؤنث سالم,mudar~isAt
شاركَتِ الشُّرطِيّاتُ في تنظيمِ المرورِ.,الشُّرطِيّاتُ,شُرْطيّات,فَاعِلات,Policewomen,جمع مؤنث سالم,$uroTy~At
سهرَتِ المُمرِّضاتُ على راحةِ المرضى.,المُمرِّضاتُ,مُمَرِّضات,مُفَعِّلات,Nurses,جمع مؤنث سالم,mumar~iDAt
شاركتْ سبّاحاتٌ شاباتٌ في البطولةِ القاريةِ.,سبّاحاتٌ,سَبَّاحات,فَاعِلات,Swimmers,جمع مؤنث سالم,sab~aAHAt
استقبلْنا زائراتٍ من عدةِ دولٍ عربيةٍ.,زائراتٍ,زَائِرَات,فَاعِلات,Visitors,جمع مؤنث سالم,zaA}iraAt
أُعجِبَ الجمهورُ بعدساتِ المُصوِّراتِ المُبدِعاتِ.,المُصوِّراتِ,مَصُورِّات,مُفَعِّلات,Photographers,جمع مؤنث سالم,maSuwr~iAt
طوَّرَتِ الباحثاتُ نتائجَ مثيرةً في المشروعِ.,الباحثاتُ,باحِثات,فَاعِلات,Researchers,جمع مؤنث سالم,bAHivAt
نُسندُ المهامَّ إلى المُساعداتِ في البدايةِ.,المُساعداتِ,مُساعِدَات,مُفَاعِلات,Assistants,جمع مؤنث سالم,musAEidaAt
سافرتِ المُدَرِّساتُ لحضور دورةٍ تدريبيةٍ في الخارج.,المُدَرِّساتُ,مُدَرِّسَات,مُفَعِّلات,Teachers,جمع مؤنث سالم,mudari~saAt
قدّمت اللجنةُ جوائزَ للمُصَمِّمَاتِ المُبدِعاتِ في المعرضِ الفنيّ.,للمُصَمِّمَاتِ,مُصَمِّمَات,مُفَعِّلات,Designers,جمع مؤنث سالم,muSami~maAt
استعانَ الوفدُ الدبلوماسيُّ بمُتَرْجِمَاتٍ محترفاتٍ لتيسيرِ الحوارِ.,بمُتَرْجِمَاتٍ,مُتَرْجِمَات,مُفَعِّلات,Translators,جمع مؤنث سالم,mutarojimaAt
استعرضَتِ المُحَلِّلَاتُ نتائجَ البياناتِ بدقةٍ ووضوحٍ.,المُحَلِّلَاتُ,مُحَلِّلَات,مُفَعِّلات,Analysts,جمع مؤنث سالم,muHali~laAt
تفقّدَتِ المُشَرِفَاتُ سيرَ الامتحاناتِ في القاعاتِ كافةً.,المُشَرِفَاتُ,مُشَرِفَات,مُفَعِّلات,Supervisors,جمع مؤنث سالم,mu$arifaAt
قامت مُنَظِّمَاتُ الحفلِ بترتيبِ الفقراتِ باحترافٍ.,مُنَظِّمَاتُ,مُنَظِّمَات,مُفَعِّلات,Organizers,جمع مؤنث سالم,munaZi~maAt
اعتمدَ المشروعُ على خُطَطٍ وضعتْها مُخَطِّطَاتٌ متمكّناتٌ.,مُخَطِّطَاتٌ,مُخَطِّطَات,مُفَعِّلات,Planners,جمع مؤنث سالم,muxaTi~TaAt
تحرّكتِ المُوَزِّعَاتُ بين الحضورِ لتقديمِ الكتيّباتِ التوضيحيّةِ.,المُوَزِّعَاتُ,مُوَزِّعَات,مُفَعِّلات,Distributors,جمع مؤنث سالم,muwazi~EaAt
رصدَتِ المُصَوِّرَاتُ أجملَ اللحظاتِ في الفعاليةِ.,المُصَوِّرَاتُ,مُصَوِّرَات,مُفَعِّلات,Photographers,جمع مؤنث سالم,muSawi~raAt
بدأَتْ المُقَدِّمَاتُ الحفلَ بكلماتٍ ترحيبيةٍ مؤثرةٍ.,المُقَدِّمَاتُ,مُقَدِّمَات,مُفَعِّلات,Presenters,جمع مؤنث سالم,muqadi~maAt
راجعَتِ المُدَقِّقَاتُ النصوصَ بدقّةٍ قبلَ النشرِ.,المُدَقِّقَاتُ,مُدَقِّقَات,مُفَعِّلات,Proofreaders,جمع مؤنث سالم,mudaqi~qaAt
استعانَ المُحاضرُ بِمُفَسِّرَاتٍ لشرحِ المصطلحاتِ الدينيةِ.,بِمُفَسِّرَاتٍ,مُفَسِّرَات,مُفَعِّلات,Interpreters,جمع مؤنث سالم,mufasi~raAt
أشرفتِ الطّبِيبَاتُ على حالاتِ الطوارئِ بكفاءةٍ عاليةٍ.,الطّبِيبَاتُ,طَبِيبَات,فَعِيلات,Doctors,جمع مؤنث سالم,TabiybaAt
لفتَتْ ذَكِيَّاتُ الصفِّ أنظارَ الجميعِ بقدراتِهِنَّ العاليةِ.,ذَكِيَّاتُ,ذَكِيَّات,فَعِيلات,Smart,جمع مؤنث سالم,*akiya~At
واجهَتِ القَوِيَّاتُ التحدّياتِ دونَ تردُّدٍ أو خَوفٍ.,القَوِيَّاتُ,قَوِيَّات,فَعِيلات,Strong,جمع مؤنث سالم,qawiya~At
ساهمَتِ النَّشِيطَاتُ في تنظيمِ يومِ التطوّعِ بشكلٍ رائعٍ.,النَّشِيطَاتُ,نَشِيطَات,فَعِيلات,Active,جمع مؤنث سالم,na$iyTaAt
تَميزَتِ الحاضراتُ بأنّهُنَّ ظَرِيفَاتٌ في الحوارِ والمُعاملةِ.,ظَرِيفَاتٌ,ظَرِيفَات,فَعِيلات,Graceful,جمع مؤنث سالم,ZariyfaAt
تلقَّت بعضُ العَقِيمَاتِ دعمًا نفسيًّا في المركزِ الصحيِّ.,العَقِيمَاتِ,عَقِيمَات,فَعِيلات,Sterile,جمع مؤنث سالم,EaqiymaAt
أنجَزَتِ الفتياتُ سَرِيعَاتِ الأداءِ المُهمّاتِ بكفاءةٍ.,سَرِيعَاتِ,سَرِيعَات,فَعِيلات,Fast,جمع مؤنث سالم,sariyEaAt
أشارَ التقريرُ إلى أنَّ بَطِيئَاتِ التعلمِ يحتجنَ لدعمٍ إضافيٍّ.,بَطِيئَاتِ,بَطِيئَات,فَعِيلات,Slow,جمع مؤنث سالم,baTiy}aAt
قدّمتِ الرَّشِيقَاتُ عرضًا راقصًا في حفلِ المدرسةِ.,الرَّشِيقَاتُ,رَشِيقَات,فَعِيلات,Slender,جمع مؤنث سالم,ra$iyqaAt
تمتازُ رَقِيقَاتُ الصوتِ بجمالِ الأداءِ الغنائيِّ.,رَقِيقَاتُ,رَقِيقَات,فَعِيلات,Delicate,جمع مؤنث سالم,raqiyqaAt
وفّرَ المدرِّسُ دعمًا خاصًّا للطّالباتِ الضَّعِيفَاتِ في الرّياضيّاتِ.,الضَّعِيفَاتِ,ضَعِيفَات,فَعِيلات,Weak,جمع مؤنث سالم,DaEiyfaAt
نُشِرَت مقالاتٌ مُلهمةٌ لِكَاتِبَاتٍ شاباتٍ في المجلةِ الأدبيةِ.,لِكَاتِبَاتٍ,كَاتِبَات,فَاعِلات,Writers,جمع مؤنث سالم,kaAtibaAt
اجتمعَتِ القَارِئَاتُ في النادي لِمُناقشةِ الروايةِ الجديدةِ.,القَارِئَاتُ,قَارِئَات,فَاعِلات,Readers,جمع مؤنث سالم,qaAri}aAt
كُرِّمَت المُعَلِّمَاتُ المُتميّزاتُ في حفلِ التخرّجِ.,المُعَلِّمَاتُ,مُعَلِّمَات,فَاعِلات,Teachers,جمع مؤنث سالم,muEali~maAt
قدّمتِ الرَّاقِصَاتُ عرضًا تقليديًا في المهرجانِ الثقافيِّ.,الرَّاقِصَاتُ,رَاقِصَات,فَاعِلات,Dancers,جمع مؤنث سالم,raAqiSaAt
سجّلَت المُشَارِكَاتُ أسماؤهُنَّ في قائمةِ المتطوّعاتِ.,المُشَارِكَاتُ,مُشَارِكَات,فَاعِلات,Participants,جمع مؤنث سالم,mu$aArikaAt
تلقَّتِ النّاجِحَاتُ شهاداتِ تقديرٍ من إدارةِ المدرسةِ.,النّاجِحَاتُ,نَاجِحَات,فَاعِلات,Successful,جمع مؤنث سالم,naAjiHaAt
ذُكرَتْ أسماؤُ المُسَاهِمَاتِ في نهايةِ التقريرِ.,المُسَاهِمَاتِ,مُسَاهِمَات,فَاعِلات,Contributors,جمع مؤنث سالم,musaAhimaAt
بَذلَت المُنَافِسَاتُ جُهدًا كبيرًا للفوزِ بالجائزةِ.,المُنَافِسَاتُ,مُنَافِسَات,فَاعِلات,Competitors,جمع مؤنث سالم,munaAfisaAt
قامتِ المُبَادِرَاتُ بحملةٍ توعويةٍ في المدارسِ.,المُبَادِرَاتُ,مُبَادِرَات,فَاعِلات,Initiators,جمع مؤنث سالم,mubaAdiraAt
المُحِبَّاتُ للعلمِ يسعَينَ دائمًا للتطوّرِ.,المُحِبَّاتُ,مُحِبَّات,فَاعِلات,Lovers,جمع مؤنث سالم,muHiba~At
تولّت الرَّاعِيَاتُ الإشرافَ على الفعاليّةِ بالكاملِ.,الرَّاعِيَاتُ,رَاعِيَات,فَاعِلات,Carer,جمع مؤنث سالم,raAEiyaAt
أبدعَتِ الصَّانِعَاتُ في تقديمِ مُنتجاتٍ يدويةٍ رائعةٍ.,الصَّانِعَاتُ,صَانِعَات,فَاعِلات,Creators,جمع مؤنث سالم,SaAniEaAt
راجعتِ الموظفةُ المُدْخِلَاتِ للتأكّدِ من دقّتهنَّ.,المُدْخِلَاتِ,مُدْخِلَات,مُفْعِلات,M Inputs,جمع مؤنث سالم,mudoxilaAt
عُرضَ الفيلمُ بحضورِ المُخْرِجَاتِ الشاباتِ.,المُخْرِجَاتِ,مُخْرِجَات,مُفْعِلات,Outputs,جمع مؤنث سالم,muxorijaAt
احتفَتِ المؤسّسةُ بالمُنْشِئَاتِ الأوائلِ للمشروعِ.,بالمُنْشِئَاتِ,مُنْشِئَات,مُفْعِلات,Constructors,جمع مؤنث سالم,muno$i}aAt
قدّمتِ المُطْلِقَاتُ أفكارًا جريئةً في الاجتماعِ الأولِ.,المُطْلِقَاتُ,مُطْلِقَات,مُفْعِلات,Starters,جمع مؤنث سالم,muToliqaAt
أبدَتِ المُسْتَخْدِمَاتُ إعجابَهُنَّ بالواجهةِ الجديدةِ للتطبيقِ.,المُسْتَخْدِمَاتُ,مُسْتَخْدِمَات,مُفْعِلات,Users,جمع مؤنث سالم,musotaxodimaAt
نظّمتِ المُشْرِفَاتُ البرنامجَ الصيفيَّ للأطفالِ.,المُشْرِفَاتُ,مُشْرِفَات,مُفْعِلات,Supervisors,جمع مؤنث سالم,mu$orifaAt
تابعَ الجميعُ المُجْرِيَاتِ لحظةً بلحظةٍ عبرَ البثِّ المُباشرِ.,المُجْرِيَاتِ,مُجْرِيَات,مُفْعِلات,Conductors,جمع مؤنث سالم,mujoriyaAt
تستعدُّ المُسْتَقْبِلَاتُ لاستلامِ إشاراتٍ جديدةٍ في الجهازِ العصبيِّ.,المُسْتَقْبِلَاتُ,مُسْتَقْبِلَات,مُفْعِلات,Receivers,جمع مؤنث سالم,musotaqobilaAt
راقبَتِ اللجنةُ المُصْدِرَاتِ التي تجاوزَت الحدَّ المسموحَ بهِ.,المُصْدِرَاتِ,مُصْدِرَات,مُفْعِلات,Exporters,جمع مؤنث سالم,muSodiraAt
كانتِ الطّالباتُ مُحْتَفِظَاتٍ بأسرارِ زميلاتِهِنَّ بأمانةٍ.,مُحْتَفِظَاتٍ,مُحْتَفِظَات,مُفْعِلات,Reservoirs,جمع مؤنث سالم,muHotafiZaAt
قَدّمَتِ المُسَاعِدَاتُ جهودًا كبيرةً في تنظيمِ الحدثِ.,المُسَاعِدَاتُ,مُسَاعِدَات,مُفَاعِلات,Accessories,جمع مؤنث سالم,musaAEidaAt
تميّزتِ المُحَاوِرَاتُ باللباقةِ وسرعةِ البديهةِ.,المُحَاوِرَاتُ,مُحَاوِرَات,مُفَاعِلات,Dialogues,جمع مؤنث سالم,muHaAwiraAt
انتهَتِ المُنَاقِشَاتُ باتفاقٍ على أهمِّ التوصياتِ.,المُنَاقِشَاتُ,مُنَاقِشَات,مُفَاعِلات,Discussions,جمع مؤنث سالم,munaAqi$aAt
تبادلتِ المُكَاتِبَاتُ رسائلَ رسميةً بين الدوائرِ الحكوميةِ.,المُكَاتِبَاتُ,مُكَاتِبَات,مُفَاعِلات,Correspondents,جمع مؤنث سالم,mukaAtibaAt
كرَّمَت المؤسّسةُ المُكَافِحَاتِ في مواجهةِ الفسادِ.,المُكَافِحَاتِ,مُكَافِحَات,مُفَاعِلات,Fighters,جمع مؤنث سالم,mukaAfiHaAt
سَجلْنا مُفَاعِلَاتٍ جديدةً في تجربةِ الكيمياءِ.,مُفَاعِلَاتٍ,مُفَاعِلَات,مُفَاعِلات,Reactors,جمع مؤنث سالم,mufaAEilaAt
أثبتَت المُعَالِجَاتُ فاعليتَهُنَّ في التعاملِ مع الحالاتِ النفسيةِ.,المُعَالِجَاتُ,مُعَالِجَات,مُفَاعِلات,Processors,جمع مؤنث سالم,muEaAlijaAt
تعملُ الغَسَّالَاتُ الحديثةُ بكفاءةٍ واستهلاكٍ أقلٍّ للطاقةِ.,الغَسَّالَاتُ,غَسَّالَات,فَعَّالات,Washers,جمع مؤنث سالم,gasa~AlaAt
وُصِفَتْ الشخصياتُ في الروايةِ بأنّهُنَّ قَتَّالَاتٌ بلا رحمةٍ.,قَتَّالَاتٌ,قَتَّالَات,فَعَّالات,Fighters,جمع مؤنث سالم,qata~AlaAt
شاركتِ الضَّارِبَاتُ في العروضِ القتاليةِ خلالَ المهرجانِ.,الضَّارِبَاتُ,ضَارِبَات,فَعَّالات,Strikers,جمع مؤنث سالم,DaAribaAt
تفنّنَتِ الخَبَّازَاتُ في إعدادِ المعجناتِ الشرقيةِ.,الخَبَّازَاتُ,خَبَّازَات,فَعَّالات,Bakers,جمع مؤنث سالم,xaba~AzaAt
لفتَتِ الفَنَّانَاتُ أنظارَ الجمهورِ في المعرضِ التشكيليِّ.,الفَنَّانَاتُ,فَنَّانَات,فَعَّالات,Artists,جمع مؤنث سالم,fana~AnaAt
عمِلَتِ البَناتُ على بناءِ مجسماتٍ هندسيةٍ دقيقةٍ.,مجسماتٍ,مجسمات,فَعَالات,Girls,جمع مؤنث سالم,banaAt
استُدعِيَتِ الشَّاهِدَاتُ للإدلاءِ بإفادَتِهِنَّ أمامَ المحكمةِ.,الشَّاهِدَاتُ,شَاهِدَات,فَعَّالات,Witnesses,جمع مؤنث سالم,$aAhidaAt
حضّرَتِ الطَّبَّاخَاتُ وليمةً شعبيةً في الفعاليةِ التراثيةِ.,الطَّبَّاخَاتُ,طَبَّاخَات,فَعَّالات,Cooks,جمع مؤنث سالم,Taba~AxaAt
اقتربتِ القَارِبَاتُ من الميناءِ بعدَ رحلةٍ طويلةٍ في البحرِ.,القَارِبَاتُ,قَارِبَات,فَعَّالات,Boats,جمع مؤنث سالم,qaAribaAt
تناولَ الفيلمُ قصةَ سَفَّاحَاتٍ ارتكبنَ جرائمَ غامضةً.,سَفَّاحَاتٍ,سَفَّاحَات,فَعَّالات,Murderers,جمع مؤنث سالم,safa~AHaAt
تحدثت الراقِيَات بأسلوب يدل على تهذيب.,الراقِيَات,رَاقِيَات,فَعِيلات,Elegant,جمع مؤنث سالم,raAqiyaAt
أشرفت المُنَفِّذَات على المشروع حتى نهايته.,المُنَفِّذَات,مُنَفِّذَات,مُفْعِلات,Implementers,جمع مؤنث سالم,munafi~*aAt
كرّمت الإدارة المُشرفات على جهودهن.,المُشرفات,مُشرفات,مُفْعِلات,Supervisors,جمع مؤنث سالم,mu$rfAt
نظّمت المُراقبات جدول الامتحانات.,المُراقبات,مُراقبات,فاعِلات,Monitors,جمع مؤنث سالم,murAqbAt
قامت المُفتشات بجولة تفقدية.,المُفتشات,مُفتشات,فاعِلات,Inspectors,جمع مؤنث سالم,muft$At
تابعت المُساعدات تحضيرات المعرض.,المُساعدات,مُساعدات,مُفْعِلات,Assistant,جمع مؤنث سالم,musAEdAt
اجتمعت المُدربات لمناقشة الخطة.,المُدربات,مُدربات,مُفْعِلات,Trainers,جمع مؤنث سالم,mudrbAt
أعدّت المُحررات التقرير الشهري.,المُحررات,مُحررات,مُفْعِلات,Editors,جمع مؤنث سالم,muHrrAt
شاركت المُحللات في تقديم النتائج.,المُحللات,مُحللات,مُفَعِّلات,Analysts,جمع مؤنث سالم,muHllAt
دعمت المُتطوعات الحملة الصحية.,المُتطوعات,مُتطوعات,مُتَفَعِّلات,Volunteers,جمع مؤنث سالم,mutTwEAt
أنهت المُنسقات أعمال الترتيب.,المُنسقات,مُنسقات,مُفْعِلات,Coordinators,جمع مؤنث سالم,munsqAt
تحدّثت المُخططات عن مخرجات المشروع.,المُخططات,مُخططات,مُفَعِّلات,Planners,جمع مؤنث سالم,muxTTAt
أبهرت الذكيات الحضور بإجاباتهن.,الذكيات,ذكيات,فَعِيلات,Smart,جمع مؤنث سالم,*kyAt
أظهرت السّريعات تفوقًا واضحًا في السباق.,السّريعات,سريعات,فَعِيلات,Fast,جمع مؤنث سالم,sryEAt
تميّزت النشيطات بروح المبادرة.,النشيطات,نشيطات,فَعِيلات,Active,جمع مؤنث سالم,n$yTAt
كانت الطّويلات أول الواصلات.,الطّويلات,طويلات,فَعِيلات,Tall,جمع مؤنث سالم,TwylAt
انبهرت اللجنة بالراقيات.,بالراقيات,راقيات,فَعِيلات,Sophisticated,جمع مؤنث سالم,rAqyAt
تنافست الفتيات القويّات في المسابقة.,القويّات,قويّات,فَعِيلات,Strong,جمع مؤنث سالم,qwy~At
دافعت الصّادقات عن زميلتهن.,الصّادقات,صادقات,فَعِيلات,Honest,جمع مؤنث سالم,SAdqAt
رافقت الرشيقات الفريق الطبي.,الرشيقات,رشيقات,فَعِيلات,Slender,جمع مؤنث سالم,r$yqAt
أسهمت الكريمات في جمع التبرعات.,الكريمات,كريمات,فَعِيلات,Generous,جمع مؤنث سالم,krymAt
بَرَزَت العفيفات بأخلاقهن العالية.,العفيفات,عفيفات,فَعِيلات,Chaste,جمع مؤنث سالم,EfyfAt
كانت الحريصات أول من أنهى التمرين.,الحريصات,حريصات,فَعِيلات,Careful,جمع مؤنث سالم,HrySAt
انتظرَ العشاقُ رسائلَ الحبيباتِ عندَ بابِ الذاكرةِ.,الحبيباتِ,حبيباتِ,فَعِيلات,Quick,جمع مؤنث سالم,s~ryEAt
أثبتت اللطيفات قدرتهن على القيادة.,اللطيفات,لطيفات,فَعِيلات,Nice,جمع مؤنث سالم,lTyfAt
أعجب الجمهور بالظريفات في العرض المسرحي.,بالظريفات,ظريفات,فَعِيلات,Graceful,جمع مؤنث سالم,ZryfAt
التفتَ العشاقُ لضحكاتِ العاشقاتِ وهي تهمسُ بالحياةِ.,العاشقاتِ,عاشقاتِ,فَعِيلات,Serious,جمع مؤنث سالم,jAd~At
أرسلت المُدخِلات التقارير في الموعد.,المُدخِلات,مُدخِلات,مُفْعِلات,Entry-in,جمع مؤنث سالم,mudxilAt
بايعتِ الصحابياتُ النبيَّ على الطاعةِ والخيرِ.,الصحابياتُ,صحابياتُ,مُفَعِّلات,Designers,جمع مؤنث سالم,muSmmAt
أعادت المُعيدات ترتيب الملفات.,المُعيدات,مُعيدات,مُفْعِلات,Teachers,جمع مؤنث سالم,muEydAt
أعدّت المُذيعات النشرات الإخبارية.,المُذيعات,مُذيعات,مُفْعِلات,Broadcasters,جمع مؤنث سالم,mu*yEAt
قدّمت المُترجمات النصوص للطلاب.,المُترجمات,مُترجمات,مُفْعِلات,Translators,جمع مؤنث سالم,mutrjmAt
سجّلت المُستقبلات البيانات بدقة.,المُستقبلات,مُستقبلات,مُسْتَفْعِلات,Receptionists,جمع مؤنث سالم,mustqblAt
ركبت المُوظفات التقارير إلكترونيًا.,المُوظفات,مُوظفات,مُفْعِلات,Employees,جمع مؤنث سالم,muwZfAt
أجابت المُستطلِعات عن كل الأسئلة.,المُستطلِعات,مُستطلِعات,مُسْتَفْعِلات,Surveyors,جمع مؤنث سالم,mustTliEAt
أعدّت المُنظمات ترتيب القاعة.,المُنظمات,مُنظمات,مُفَعِّلات,Organizers,جمع مؤنث سالم,munZmAt
نشرت المُشاركات الصور على المنصات.,المُشاركات,مُشاركات,مُفَاعِلات,Participants,جمع مؤنث سالم,mu$ArkAt
درّبت المُبرمجات الفريق التقني.,المُبرمجات,مُبرمجات,مُفْعِلات,Programmers,جمع مؤنث سالم,mubrmjAt
راجعت المُراجِعات محتوى المقالات.,المُراجِعات,مُراجِعات,مُفَاعِلات,Reviewers,جمع مؤنث سالم,murAjiEAt
ركضت العدّاءات في سباق المدارس.,العدّاءات,عدّاءات,فَعَّالات,Runners,جمع مؤنث سالم,Ed~A'At
شاركت اللاعبات في الدوري المحلي.,اللاعبات,لاعبات,فَاعِلات,Players,جمع مؤنث سالم,lAEbAt
رافقت الشرطيات قافلة الأمن.,الشرطيات,شرطيات,فِعَالِيّات,Policewomen,جمع مؤنث سالم,$rTyAt
قابلت الإعلاميات وزير التعليم.,الإعلاميات,إعلاميات,فِعَالِيّات,Media professionals,جمع مؤنث سالم,<ElAmyAt
أشرفت المُحلِّلات على الدراسة العلمية.,المُحلِّلات,مُحلِّلات,مُفَعِّلات,Analysts,جمع مؤنث سالم,muHl~ilAt
حفّزت المُشجّعات اللاعبات بقوة.,المُشجّعات,مُشجّعات,مُفَعِّلات,Cheerleaders,جمع مؤنث سالم,mu$j~EAt
فعّلت المُنظّمات النظام الإلكتروني.,المُنظّمات,مُنظّمات,مُفَعِّلات,Organizers,جمع مؤنث سالم,munZ~mAt
جذبت المُروّجات انتباه الجمهور.,المُروّجات,مُروّجات,مُفَعِّلات,Promoters,جمع مؤنث سالم,murw~jAt
حذّرت المُنَبِّهات من مخاطر التأخير.,المُنَبِّهات,مُنَبِّهات,مُفَعِّلات,Alarmists,جمع مؤنث سالم,munab~ihAt
أطلقت المُحرّكات الفعالية الكبرى.,المُحرّكات,مُحرّكات,مُفَعِّلات,Movers,جمع مؤنث سالم,muHr~kAt
ساعدت المُعدِّلات في تصميم البرنامج.,المُعدِّلات,مُعدِّلات,مُفَعِّلات,Adjusters,جمع مؤنث سالم,muEd~ilAt
تابعت المُراقِبات ملاحظات الورشة.,المُراقِبات,مُراقِبات,مُفَاعِلات,Monitors,جمع مؤنث سالم,murAqibAt
أعلنت المُنسّقات بدء الفقرة الأولى.,المُنسّقات,مُنسّقات,مُفَعِّلات,Coordinators,جمع مؤنث سالم,muns~qAt
جهّزت المُرتِّبات المنصة مبكرًا.,المُرتِّبات,مُرتِّبات,مُفَعِّلات,Arrangers,جمع مؤنث سالم,murt~ibAt
خطّطت المُفكِّرات للقاء القادم.,المُفكِّرات,مُفكِّرات,مُفَعِّلات,Notebooks,جمع مؤنث سالم,mufk~irAt
اختارت المُنقِّحات أفضل النصوص.,المُنقِّحات,مُنقِّحات,مُفَعِّلات,Revisers,جمع مؤنث سالم,munq~iHAt
شرحت المُفسِّرات مضمون النص الأدبي.,المُفسِّرات,مُفسِّرات,مُفَعِّلات,Interpreters,جمع مؤنث سالم,mufs~irAt
احتفينا بإنجازات الخريجات.,بإِنجازات,إِنجازات,إِفْعالات,Achievements,جمع مؤنث سالم,<injAzAt
كثرت التَّساؤلات بعد الإعلان.,التَّساؤلات,تساؤلات,تَفَاعُلات,Questions,جمع مؤنث سالم,tsA&lAt
العذراوات في الرواية كُنّ رمزا للنقاء والبراءة.,العذراوات,عذراوات,فَعْلاوات,Virgins,جمع مؤنث سالم,E*rAwAt
وزعت المعلمة كتيّبات تعليمية على الطالبات.,كتيّبات,كتيّبات,فُعَيِّلات,Booklets,جمع مؤنث سالم,kty~bAt
قدمت الطالبة تعريفات دقيقة للمفاهيم العلمية.,تعريفات,تعريفات,تَفْعِيلات,Definitions,جمع مؤنث سالم,tEryfAt
 لبَّتِ الحاجَّاتُ نداءَ الإيمانِ في موسمِ الحجِّ., الحاجَّاتُ, حاجَّات,فَاعِلات,Preferences,جمع مؤنث سالم,fDlyAt
قطفنا ثمرات لذيذة من أشجار التفاح.,ثمرات,ثمرات,فَعَلات,Fruits,جمع مؤنث سالم,vmrAt
زيّنت وردات الياسمين مداخل البيوت.,وردات,وردات,فَعَلات,Roses,جمع مؤنث سالم,wrdAt
أصدرت الأجهزة الناطقات تحذيرات من العاصفة.,ناطقات,ناطقات,فَاعِلات,Speakers,جمع مؤنث سالم,nATqAt
نُشرت تحقيقات موسعة حول القضية الأخيرة.,تحقيقات,تحقيقات,تَفْعِيلات,Investigations,جمع مؤنث سالم,tHqyqAt
وزع المعلم كراسات الواجب على الطلبة.,كرّاسات,كرّاسات,فَعَّالات,Notebooks,جمع مؤنث سالم,kr~AsAt
شاركت البيضاوات في موكب الاحتفال بالسلام.,البيضاوات,بيضاوات,فَعْلاوات,White papers,جمع مؤنث سالم,byDAwAt
اقتنت المدرسة مجموعة من الكمبيوترات الحديثة.,الكمبيوترات,كمبيوترات,جمع أعجمي مؤنث,Computers,جمع مؤنث سالم,kmbywtrAt
جربتِ العالماتُ تقنياتٍ مبتكرةً لعلاجِ الأورامِ.,العالماتُ,عالمات,فاعِلات,Scientists,جمع مؤنث سالم,EAlmAt
 كتبتِ الباحثاتُ تقاريرَ حولَ تطوّرِ اللقاحاتِ.,اللقاحاتِ,لقاحات,فِعالَات,Watts,جمع مؤنث سالم,lqAHAt
 ساهمتِ المتخصصاتُ في بناءِ برامجِ الذكاءِ الاصطناعيِّ., المتخصصاتُ, متخصصات,مُتفعّلات,Specialists,جمع مؤنث سالم,mtxSSAt
بَرَعَتِ الإحصائيّاتُ في تحليلِ البياناتِ المعقدةِ., الإحصائيّاتُ, إحصائيّات,اِفْعالِيّات,Statisticians,جمع مؤنث سالم,<HSA}y~At
رَسَمَتِ الرَّساماتُ تصاميمَ هندسيةً دقيقةً.,الرَّساماتُ, رسامات,فَعّالات,Painters,جمع مؤنث سالم,rsAmAt
نَظَّمَتِ الفيزيائياتُ محاضراتٍ عن الطاقةِ المتجددةِ., محاضراتٍ, محاضرات,مُفاعِلات,Lecturers,جمع مؤنث سالم,mHADrAt
أنجزتِ المُبرمجاتُ تطبيقاتٍ تخدمُ المجتمعَ.,المُبرمجاتُ ,مُبرمجات,مُفعِلات,Programmers,جمع مؤنث سالم,mubrmjAt
أَجْرَتِ المختبراتُ تجاربَ دقيقةً بمساعدةِ الفنيَّاتِ.,الفنيَّاتِ,فنيَّاتِ,فَعليّات,Technicians,جمع مؤنث سالم,fny~aAti
نَشَرَتِ الطبيباتُ أبحاثًا في المجلاتِ العالميةِ.,المجلاتِ,مجلاتِ,فَعّالات,Magazines,جمع مؤنث سالم,mjlAt
عادتِ المؤمناتُ من العمرةِ بقلوبٍ نقيةٍ.,المؤمناتُ ,مؤمنات ,مُفعِلات,Beliefs,جمع مؤنث سالم,m&mnAt
سجدتِ الساجداتُ طويلاً في محرابِ الرحمةِ.,الساجداتُ,ساجدات,فاعِلات,Prostrating women,جمع مؤنث سالم,sAjdAt
